Year,LGA_name,LGA_code,0-19,20-64,65+,Total_population,Ratio: 65+ to 18+,Median_income,Total_EGMs,Venues,Unemployment_rate,Net_expenditure (AUD),EGMs_PV,People_PEGM,Expenditure_PP (AUD),Expenditure_PEGM (AUD),Expenditure_PV (AUD),EXP_PP_label
2015,Corangamite (S),21830,4162,8049,3460,15671,0.3006342862107916,39657,57,2,0.0370826660096094,2932316.66,28.5,201.91228070175438,254.7846607003215,51444.15192982456,1466158.33,Low
2015,Darebin (C),21890,30893,98636,21352,150881,0.1779511284461779,47153,777,13,0.0781577110956036,83857397.07000001,59.76923076923077,154.4247104247104,698.8815304030404,107924.57795366796,6450569.005384616,High
2015,East Gippsland (S),22110,9948,22492,11555,43995,0.3393837929920404,36706,332,10,0.0597188560349006,22343699.93,33.2,102.5512048192771,656.2604614209769,67300.3009939759,2234369.993,High
2015,Frankston (C),22170,33807,82230,19934,135971,0.1951176539681296,45704,534,10,0.0786975349766822,62065687.29000001,53.4,191.3183520599251,607.5103489487491,116227.87882022474,6206568.729,High
2015,Gannawarra (S),22250,2258,5058,2703,10019,0.3482798608426749,36970,45,1,0.0424347158218125,1498998.3099999998,45.0,172.46666666666667,193.14499549027184,33311.07355555555,1498998.3099999998,Very Low
2015,Glen Eira (C),22310,34662,89981,21660,146303,0.194014743687355,51971,772,11,0.0515055467511885,73555920.9,70.18181818181819,144.61269430051814,658.8611791366972,95279.6902849741,6686901.9,High
2015,Glenelg (S),22410,4559,10684,3915,19158,0.2681690526748407,41437,120,4,0.063424084837361,6893539.01,30.0,121.65833333333333,472.1925481197342,57446.158416666665,1723384.7525,Medium
2015,Greater Bendigo (C),22620,28279,61733,18425,108437,0.2298585294044262,43191,629,11,0.0710318723690261,47678424.57,57.18181818181818,127.43720190779014,594.8055661318896,75800.35702702703,4334402.233636363,Medium
2015,Greater Dandenong (C),22670,37191,93330,22218,152739,0.192283726243639,39273,952,15,0.123582570655615,117004770.07,63.46666666666667,121.37394957983193,1012.6074884030878,122904.17024159663,7800318.0046666665,Very High
2015,Greater Geelong (C),22750,56478,132157,40785,229420,0.2358305096506343,44227,1366,26,0.0824428613831997,111581393.5,52.53846153846154,126.60468521229868,645.195461484197,81684.76830161054,4291592.057692308,High
2015,Greater Shepparton (C),22830,17552,35598,10216,63366,0.2229886061029379,41062,329,8,0.0804197994987468,31380787.260000005,41.125,139.25227963525836,684.9606508927403,95382.33209726446,3922598.4075000007,High
2015,Hepburn (S),22910,3238,8264,3292,14794,0.2848736587054344,37067,50,2,0.0387925146837863,2606330.6,25.0,231.12,225.53916580131533,52126.612,1303165.3,Low
2015,Hobsons Bay (C),23110,21661,57935,13165,92761,0.1851617440225035,51621,577,10,0.0580145773167521,46430981.96,57.7,123.22357019064125,653.0377209563994,80469.63944540729,4643098.196,High
2015,Horsham (RC),23190,5077,10951,3746,19774,0.2548819486970129,41185,148,3,0.042230789921994,9531130.75,49.333333333333336,99.30405405405405,648.5085901884738,64399.53209459459,3177043.5833333335,High
2015,Hume (C),23270,57067,116849,20090,194006,0.1467076581543607,44084,805,14,0.0894151711918061,104943985.95,57.5,170.1105590062112,766.3557200651385,130365.1999378882,7495998.996428572,High
2015,Kingston (C),23430,35283,92966,26228,154477,0.2200446331191167,48063,895,16,0.0655705665355581,81509892.75000001,55.9375,133.17765363128493,683.8422466734904,91072.5058659218,5094368.296875001,High
2015,Knox (C),23670,37730,94836,23115,155681,0.1959712083831421,46226,686,10,0.0516298753288344,73362492.12,68.6,171.9402332361516,621.9743123839561,106942.40833819243,7336249.212,High
2015,Latrobe (C),23810,18572,42149,12827,73548,0.2333199941792782,45400,522,13,0.0692365070062336,43613709.09,40.15384615384615,105.31800766283524,793.3227060899302,83551.16683908047,3354900.6992307696,High
2015,Macedon Ranges (S),24130,12353,25725,7230,45308,0.219390077378243,47135,103,3,0.033023861878003,8656079.05,34.333333333333336,319.9514563106796,262.66360339857385,84039.60242718448,2885359.6833333336,Low
2015,Manningham (C),24210,26383,68329,24730,119442,0.2657453873349165,44288,509,7,0.0605287643982417,56406754.76,72.71428571428571,182.8271119842829,606.1397044885503,110818.77163064832,8058107.822857142,High
2015,Mansfield (S),24250,2310,4173,1817,8300,0.303338898163606,33443,40,1,0.0384528387242705,1677514.76,40.0,149.75,280.05254757929885,41937.869,1677514.76,Low
2015,Maribyrnong (C),24330,17360,58231,7924,83515,0.1197793061748923,48594,402,9,0.0726084812623274,52994016.09,44.666666666666664,164.56467661691542,801.0583642959716,131825.9106716418,5888224.010000001,Very High
2015,Maroondah (C),24410,27561,67320,17429,112310,0.205654344004059,47198,737,10,0.0561159325364336,61694366.5,73.7,114.99185888738127,727.9657164096332,83710.13093622796,6169436.65,High
2015,Melbourne (C),24600,16238,104262,8480,128980,0.075215979847794,47334,746,11,0.0486898786705133,75868075.11,67.81818181818181,151.12868632707776,672.935331198666,101699.83258713137,6897097.737272727,High
2015,Melton (C),24650,40678,81791,10283,132752,0.1116819080304972,48080,493,7,0.0761943986820428,57349284.44,70.42857142857143,186.76267748478702,622.8607906683754,116327.14896551723,8192754.92,High
2015,Mildura (RC),24780,14453,29254,9308,53015,0.2413775219127638,40523,285,8,0.0751467850494057,25640869.010000005,35.625,135.30526315789473,664.9258080493752,89967.96143859651,3205108.6262500007,High
2015,Mitchell (S),24850,11192,22771,5180,39143,0.1853243175557225,46233,228,5,0.0771231754901488,15754672.14,45.6,122.59210526315789,563.6532553397017,69099.43921052633,3150934.4280000003,Medium
2015,Moira (S),24900,7137,14746,6937,28820,0.3199280542360374,38317,98,2,0.0666813866195628,3874677.61,49.0,221.25510204081633,178.6965645897708,39537.52663265306,1937338.805,Very Low
2015,Monash (C),24970,40874,114109,32303,187286,0.2206308226101685,44205,957,15,0.0384898827195586,114356289.27,63.8,152.99059561128527,781.0581733054668,119494.55514106582,7623752.618,High
2015,Moonee Valley (C),25060,26546,74225,18812,119583,0.2021991250792695,52289,732,11,0.0560882597573798,74747047.29000002,66.54545454545455,127.09972677595628,803.4120542364868,102113.45258196724,6795186.117272729,Very High
